"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Durham-Chapel Hill, NC","20500",2024,366,169,197,0,0,0,0,97,62,51,0,0,80,285,1
"Dyersburg, TN","20540",2024,347,286,61,0,0,0,0,92,53,31,0,0,0,347,0
"Eagle Pass, TX","20580",2024,341,233,108,0,0,0,0,100,72,37,0,0,0,341,0
"East Stroudsburg, PA","20700",2024,360,329,30,1,0,0,0,119,49,35,0,0,360,0,0
"Eau Claire, WI","20740",2024,366,299,66,1,0,0,0,142,56,38,0,0,145,184,37
"Effingham, IL","20820",2024,240,217,22,1,0,0,0,101,50,41,0,0,240,0,0
"El Centro, CA","20940",2024,366,83,233,42,5,2,1,341,107,63,0,1,194,98,73
"El Dorado, AR","20980",2024,121,62,59,0,0,0,0,93,62,49,0,0,0,121,0
"El Paso, TX","21340",2024,366,81,222,51,7,1,4,431,112,67,0,12,133,98,123
"Elizabethtown-Fort Knox, KY","21060",2024,154,129,25,0,0,0,0,67,53,41,0,0,71,83,0
"Elkhart-Goshen, IN","21140",2024,366,227,138,1,0,0,0,145,62,45,0,0,163,203,0
"Elko, NV","21220",2024,365,318,46,1,0,0,0,113,51,23,0,0,41,22,302
"Ellensburg, WA","21260",2024,366,320,46,0,0,0,0,94,53,23,0,0,0,366,0
"Emporia, KS","21380",2024,122,106,16,0,0,0,0,94,53,29,0,0,0,122,0
"Erie, PA","21500",2024,366,295,71,0,0,0,0,93,56,38,0,3,253,110,0
"Espa¤ola, NM","21580",2024,359,252,104,3,0,0,0,108,74,45,0,0,356,3,0
"Eugene, OR","21660",2024,366,219,131,10,5,1,0,216,80,44,0,0,79,287,0
"Eureka-Arcata-Fortuna, CA","21700",2024,366,266,100,0,0,0,0,86,58,38,0,0,150,199,17
"Evanston, WY","21740",2024,297,297,0,0,0,0,0,44,17,7,0,0,0,0,297
"Evansville, IN-KY","21780",2024,366,222,142,2,0,0,0,122,62,46,0,0,175,191,0
"Fairbanks, AK","21820",2024,366,213,128,15,8,1,1,325,89,42,0,0,128,233,5
"Fairmont, WV","21900",2024,111,85,26,0,0,0,0,62,53,33,0,0,0,111,0
"Fallon, NV","21980",2024,358,280,77,1,0,0,0,105,61,44,0,0,358,0,0
"Fargo, ND-MN","22020",2024,366,288,76,1,1,0,0,158,58,38,0,0,177,189,0
"Farmington, NM","22140",2024,366,218,137,11,0,0,0,115,87,48,0,1,364,0,1
"Fayetteville, NC","22180",2024,366,233,132,1,0,0,0,110,61,46,0,0,146,218,2
"Fayetteville-Springdale-Rogers, AR-MO","22220",2024,366,304,61,1,0,0,0,101,54,41,0,0,299,67,0
"Fernley, NV","22280",2024,349,310,39,0,0,0,0,90,51,42,0,0,349,0,0
"Flagstaff, AZ","22380",2024,366,250,111,5,0,0,0,136,74,46,0,0,356,10,0
"Flint, MI","22420",2024,347,252,94,1,0,0,0,119,61,42,0,0,165,182,0
"Florence, SC","22500",2024,363,223,140,0,0,0,0,100,61,47,0,0,110,253,0
"Fond du Lac, WI","22540",2024,205,190,15,0,0,0,0,77,49,38,0,0,205,0,0
"Fort Collins, CO","22660",2024,366,156,187,21,2,0,0,161,87,54,0,0,300,66,0
"Fort Payne, AL","22840",2024,366,277,89,0,0,0,0,87,57,43,0,0,242,124,0
"Fort Smith, AR-OK","22900",2024,366,252,114,0,0,0,0,97,59,44,0,1,115,250,0
"Fort Wayne, IN","23060",2024,366,217,149,0,0,0,0,100,64,47,0,0,171,195,0
"Fresno, CA","23420",2024,366,71,216,65,14,0,0,169,126,67,0,0,196,155,15
"Gadsden, AL","23460",2024,362,212,150,0,0,0,0,93,60,47,0,0,84,278,0
"Gainesville, FL","23540",2024,349,300,49,0,0,0,0,94,52,38,0,0,167,182,0
"Gainesville, GA","23580",2024,366,176,190,0,0,0,0,100,68,52,0,0,0,366,0
"Gardnerville Ranchos, NV","23820",2024,342,308,34,0,0,0,0,76,50,22,0,0,0,342,0
"Gettysburg, PA","23900",2024,366,231,132,3,0,0,0,131,67,44,1,0,228,137,0
"Gillette, WY","23940",2024,366,232,129,3,2,0,0,161,74,44,0,0,211,24,131
